section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc353.1,tampering with vehicle identification number,hybrid,None,5y,None,summary
cc355(a),possessing property obtained by crime — over $5000,hybrid,None,10y,None,summary
cc355(b),possessing property obtained by crime — under $5000,hybrid,None,2y,None,summary
cc355.5(a),possessing or trafficking in property obtained by crime — over $5000,indictable,None,14y,None,None
cc355.5(b),possessing or trafficking in property obtained by crime — under $5000,hybrid,None,5y,None,summary
cc356,theft from mail,hybrid,None,10y,None,summary
cc357,bringing into canada property obtained by crime,hybrid,None,10y,None,summary
cc362(2)(a),false pretence or false statement — theft over $5000,hybrid,None,10y,None,summary
cc362(2)(b),false pretence or false statement — theft under $5000,hybrid,None,2y,None,summary
cc362(3),false pretence or false statemetn — other,hybrid,None,10y,None,summary
cc363,obtaining execution of valuable security by fraud,hybrid,None,5y,None,summary
cc364,fraudulently obtaining food beverage or accommodation,summary,None,None,None,summary
cc367,forgery,hybrid,None,10y,None,summary
cc368,use traffkcing or possession of forged document,hybrid,None,10y,None,summary
cc368.1,forgery instruments,hybrid,None,14y,None,summary
cc369,exchequer bill paper public seals,indictable,None,14y,None,None
cc372(1),false information,hybrid,None,2y,None,summary
cc372(2),indecent communications,hybrid,None,2y,None,summary
cc372(3),harassing communications,hybrid,None,2y,None,summary
cc374,draw document without authority,indictable,None,14y,None,None
cc375,obtaining by instrument based on forged document,indictable,None,14y,None,None
cc376(1),counterfeiting stamp,indictable,None,14y,None,None
cc376(2),counterfeiting mark,indictable,None,14y,None,None
cc377,damaging documents,hybrid,None,5y,None,summary
cc378,offences in relation to registers,hybrid,None,5y,None,summary
cc380(1)(a),fraud — over $5000,indictable,None,14y,None,None
cc380(1)(b),fraud — under $5000,hybrid,None,2y,None,summary
cc380(1.1),fraud — over $1000000,indictable,2y,14y,None,None
cc380(2),fraud — affecting public market,indictable,None,14y,None,None
cc380.2,failure to comply with prohibition order,hybrid,None,2y,None,summary
cc381,using mails to defraud,hybrid,None,2y,None,summary
cc382,fraudulent manipulation of stock exchange transactions,hybrid,None,10y,None,summary
cc382.1(1),prohibited insider trading,hybrid,None,10y,None,summary
cc382.1(2),prohibited insider trading — tipping,hybrid,None,5y,None,summary
cc383,gaming in stocks or merchandise,hybrid,None,5y,None,summary
cc384,broker reducing stock by selling for their own account,hybrid,None,5y,None,summary
cc385,fraudulent concealment of title documents,hybrid,None,2y,None,summary
cc386,fraudulent registration of title,hybrid,None,5y,None,summary
cc387,fraudulent sale of real property,hybrid,None,2y,None,summary
cc388,misleading receipt,hybrid,None,2y,None,summary
cc389,fraudlent disposal of goods on which money advanced,hybrid,None,2y,None,summary
cc390,fraudulent receipts under bank act,hybrid,None,2y,None,summary
cc391,trade secret,hybrid,None,14y,None,summary
cc392,disposal of property to defraud creditors,hybrid,None,2y,None,summary
cc393(1),commit fraud in relation to fares,hybrid,None,2y,None,summary
cc393(2),enduce fraud in relation to fares,hybrid,None,2y,None,summary
cc393(3),fraudulently obtaining transportation,summary,None,None,None,summary
cc394,fraud in relation to valuable minerals,hybrid,None,5y,None,summary
cc394.1,possession of stolen or fraudulently obtained valuable minerals,hybrid,None,5y,None,summary
cc396,offences in relation to mines,hybrid,None,10y,None,summary
cc397(1),falsification of books and documents,hybrid,None,5y,None,summary
cc397(2),being privy to falsification of books and documents,hybrid,None,5y,None,summary
cc398,falsifying employment record,summary,None,None,None,summary
cc399,false return by public officer,hybrid,None,5y,None,summary
cc400,false prospectus,hybrid,None,10y,None,summary
cc401,obtaining carriabe by false billing,summary,None,None,None,summary
cc402.2,theft of or trafficking in identity information,hybrid,None,5y,None,summary
cc403,identity fraud,hybrid,None,10y,None,summary
cc405,acknowledging instrument in false name,hybrid,None,5y,None,summary
cc407,forging trademark,hybrid,None,2y,None,summary
cc408,passing off,hybrid,None,2y,None,summary
cc409,instruments for forging trademark,hybrid,None,2y,None,summary
cc410,other offences in relation to trademarks,hybrid,None,2y,None,summary
cc411,used goods sold without disclosure,hybrid,None,2y,None,summary
cc415,offences in relation to wreck,hybrid,None,2y,None,summary
cc417(1),applying or removing marks without authority,hybrid,None,2y,None,summary
cc417(2),unlawful transactions in public stores,hybrid,None,2y,None,summary
cc418(1),selling defective stores to her majesty,indictable,None,14y,None,None
cc418(2),offences by representatives,indictable,None,14y,None,None
cc419,unlawful use of military uniforms or certifictes,summary,None,None,None,summary
cc420,military stores,hybrid,None,5y,None,summary
cc422,criminal breach of contract,hybrid,None,5y,None,summary
cc423,intimidation,hybrid,None,5y,None,summary
cc423.1,intimidation of a justice system participant or journalist,indictable,None,14y,None,None
cc423.2,intimidation — health services,hybrid,None,10y,None,summary
cc424,threat against internationally protected person,hybrid,None,5y,None,summary
cc424.1,threat against united nations or associated personnel,hybrid,None,10y,None,summary
cc425,offences by employers,summary,None,None,None,summary
cc425.1,threats and retaliation against employees,hybrid,None,5y,None,summary
cc426,secret commissions,hybrid,None,5y,None,summary
cc430(2),mischief — endangering life,indictable,None,life,None,None
cc430(3),mischief — over $5000,hybrid,None,10y,None,summary
cc430(4),mischief — under $5000,hybrid,None,2y,None,summary
cc430(4.1),mischief — religious property educational institutions,hybrid,None,10y,None,summary
cc430(4.11),mischief — war memorials — first offence,hybrid,1000$,10y,1000$,729d
cc430(4.11),mischief — war memorials — second offence,hybrid,14d,10y,14d,729d
cc430(4.11),mischief — war memorials — subsequent offence,hybrid,30d,10y,30d,729d
cc430(4.2),mischief — cultural property,hybrid,None,10y,None,summary
cc430(5),mischief — computer data,hybrid,None,10y,None,summary
cc430(5.1),mischief — omitting to prevent mischief to data,hybrid,None,10y,None,summary
cc431,attack on premises residence or transport of internationally protected person,indictable,None,14y,None,None
cc431.1,attack on premises residence or transport of united nations or associated personnel,indictable,None,14y,None,None
cc431.2,explosive or other lethal device,indictable,None,life,None,None
cc432(1),unauthorized recording of a movie,hybrid,None,2y,None,summary
cc432(2),unauthorized recording for purpose of sale,hybrid,None,5y,None,summary
cc433,arson — disregard for human life,indictable,None,life,None,None
cc434,arson — damage to property,indictable,None,14y,None,None
cc434.1,arson — own property,indictable,None,14y,None,None
cc435,arson — fraudulent purpose,hybrid,None,10y,None,summary
cc436,arson — negligence,hybrid,None,5y,None,summary
cc436.1,possession of incendiary material,hybrid,None,5y,None,summary
cc437,false alarm of fire,hybrid,None,2y,None,summary
cc438(1),interfering with saving of wrecked vessel,hybrid,None,5y,None,summary
cc438(2),interfering with saving of wreck,summary,None,None,None,summary
cc439,interfering with marine signal,hybrid,None,10y,None,summary
cc440,removing natural bar without permission,hybrid,None,2y,None,summary
cc441,occupant injuring building,hybrid,None,5y,None,summary
cc442,interfering with boundary lines,summary,None,None,None,summary
cc443,interfering with international boundary marks,hybrid,None,5y,None,summary
cc445,injuring or endangering other animals,hybrid,None,5y,None,10000$-729d-729d&10000$
cc445.01(2)(a),killing or injuring certain animals — law enforcement animal killed,indictable,6m,5y,None,None
cc445.01(2)(b),killing or injuring certain animals,hybrid,None,5y,None,10000$-729d-729d&10000$
cc445.1,causing unnecessary suffering — animals,hybrid,None,5y,None,10000$-729d-729d&10000$
cc445.2,owning or breeding cetaceans,summary,None,None,None,200000$
cc446,causing damage or injury — animals,hybrid,None,2y,None,summary
cc447,arena for animal fighting,hybrid,None,5y,None,10000$-729d-729d&10000$
cc449,making — counterfeit money,indictable,None,14y,None,None
cc450,possession — counterfeit money,indictable,None,14y,None,None
cc451,having clippings produced by altering currency,hybrid,None,5y,None,summary
cc452,uttering counterfeit money,indictable,None,14y,None,None
cc453,uttering coin,hybrid,None,2y,None,summary
cc454,possess or manufacture slugs and tokens,summary,None,None,None,summary
cc455,clipping and uttering clipped coin,indictable,None,14y,None,None
cc456,defacing current coins,summary,None,None,None,summary
cc457,likeness of bank notes,summary,None,None,None,summary
cc458,making having or dealing in instruments for counterfeiting,indictable,None,14y,None,None
cc459,conveying instruments for coining out of mint,indictable,None,14y,None,None
cc460,advertising and dealing in counterfeit money,hybrid,None,5y,None,summary
cc462.31(1),laundering proceeds of crime,hybrid,None,10y,None,summary
cc462.31(2.1),laundering proceeds of crime — criminal organization,indictable,None,14y,None,None
cc463(a),attempts accessories — punishable by life,indictable,None,14y,None,None
cc463(b),attempts accessories — punishable by 14y or less,indictable,None,7y,None,None
cc463(c),attemps accessories — summary conviction,summary,None,None,None,summary
cc463(d),attempts accessories — hybrid,hybrid,None,7y,None,summary
cc464,counselling offence that is not committed — indictable,hybrid,None,14y,None,summary
cc465(1)(a),conspiracy — murder,indictable,None,life,None,None
cc465(1)(b)(i),conspiracy — indictable punishable by 14y or less,hybrid,None,10y,None,summary
cc145(1)(b)(ii),conspiracy — indictable punihsable by less than 14y,hybrid,None,5y,None,summary
cc465(1)(c),conspiracy — indictable — other,indictable,None,life,None,None
cc465(1)(d),conspiracy — summary,summary,None,None,None,summary
cc467.11,participation in activities of criminal organization,hybrid,None,5y,None,summary
cc467.111(a),recruitment of members by a criminal organization — victim under 18,indictable,6m,5y,None,None
cc467.111(b),recruitment of members by a criminal organization,indictable,None,5y,None,None
cc467.12,commission of offence for criminal organization,indictable,None,14y,None,None
cc467.13,instructing commission of offence for criminal organization,indictable,None,life,None,None
cc486.6,failure to comply with publication ban — victims and witnesses,summary,None,None,None,summary
cc487.0197,failure to comply with preservation demand,summary,None,None,None,5000$
cc487.0198,failure to comply with preservation or production order,summary,None,None,None,250000$-729d-729d&250000$
cc487.0199,failure to comply with destruction order,summary,None,None,None,summary
cc487.0552,failure to comply with order or summons,hybrid,None,2y,None,summary
cc487.08(3),improper use of bodily substances seized — warrant,summary,None,None,None,summary
cc487.08(4),improper use of bodily substances seized — order authorization,hybrid,None,2y,None,summary
cc490.031,failure to comply with soira or nda order,hybrid,None,10000$-729d-729d&10000$,None,10000$-729d-729d&10000$
cc490.311,providing false information re soira,hybrid,None,10000$-729d-729d&10000$,None,10000$-729d-729d&10000$
cc490.0312,failure to advise police re soira,summary,None,None,None,summary
cc490.8,failure to comply with restraint order,hybrid,None,5y,None,summary
cc517,failure to comply with publication ban — bail,summary,None,None,None,summary
cc539,failure to comply with publication ban — preliminary inquiry evidence,summary,None,None,None,summary
cc542,failure to comply with publication ban — preliminary inquiry documents,summary,None,None,None,summary
cc648,failure to comply with publication ban — jury evidence,summary,None,None,None,summary
cc649,disclosure of jury proceedings,summary,None,None,None,summary
cc672.37,improper application for federal employment,summary,None,None,None,summary
672.501,failure to comply with order restricting publication — sexual offences,summary,None,None,None,summary
cc708,contempt,summary,None,None,None,100$-90d-90d&100$
cc732.11,improper use or disclosure of bodily substances seized — probatin order,summary,None,None,None,summary
cc733.1,failure to comply with probation order,hybrid,None,4y,None,summary
cc742.31,improper use or disclosure of bodily substances seized — conditional sentence,summary,None,None,None,summary
cc743.21,failure to comply with non-communication order — conditional sentence order,hybrid,None,2y,None,summary
cc753.3,failure to comply with long-term supervision order,hybrid,None,10y,None,summary
cc810.4,improper use or disclosure of bodily substances seized — recognizance,summary,None,None,None,summary
cc811,breach of recognizance,hybrid,None,4y,None,summary
