section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc247(4),traps likely to cause bodily harm — offence-related place — causing bodily harm ,,14y,,
cc247(5),traps likely to cause bodily harm — death,,255y,,
cc248,interfering with transportation facility,,255y,,
cc262,impeding attempt to save life,,10y,,sc
cc263(3)(c),offences — duty to safeguard opening in ice or excavation on land,,,,sc
cc264,criminal harassment,,10y,,sc
cc264.1(a),uttering threats — death or bodily harm,,5y,,sc
cc264.1(b),uttering threats — damage property,,2y,,sc
cc264.1(c),uttering threats — kill animal,,2y,,sc
cc266,assault,,5y,,sc
cc267,assault with a weapon or causing bodily harm,,10y,,sc
cc268,aggravated assault,,14y,,
cc269,unlawfully causing bodily harm,,10y,,sc
cc269.1,torture,,14y,,
cc270,assaulting a peace officer,,5y,,sc
cc270.01,assaulting a peace officer with a weapon or causing bodily harm,,10y,,sc
cc270.02,aggravated assault of a peace officer,,14y,,
cc270.1,disarming a peace officer,,5y,,sc
cc271(a),sexual assault,,10y,,18m
cc271(b),sexual assault — complainant under 16,1y,14y,6m,729d
cc272(2)(a)-1,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — first offence,5y,14y,,
cc272(2)(a)-s,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — subsequent offence,7y,14y,,
cc272(2)(a.1),sexual assault with a weapon threats to a third party or causing bodily harm — firearm,4y,14y,,
cc272(2)(a.2),sexual assault with a weapon threats to a third party or causing bodily harm — complainant under 16,5y,14y,,
cc272(2)(b),sexual assault with a weapon threats to a third party or causing bodily harm,,14y,,
cc273(2)(a)-1,aggravated sexual assault — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc273(2)(a)-s,aggravated sexual assault — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc273(2)(a.1),aggravated sexual assault — firearm,4y,255y,,
cc273(2)(a.2),aggravated sexual assault — complainant under 16,5y,255y,,
cc273(2)(b),aggravated sexual assault,,255y,,
cc273.3,removal of child from canada — sexual offences,,5y,,sc
cc279(1.1)(a)-1,kidnapping — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc279(1.1)(a)-s,kidnapping — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc279(1.1)(a.1),kidnapping — firearm,4y,255y,,
cc279(1.1)(a.2),kidnapping — complainant under 16,5y,255y,,
cc279(1.1)(b),kidnapping,,255y,,
cc279(2),forcible confinement,,10y,,sc
cc279.01(1)(a),trafficking in persons — additional violent offence,5y,255y,,
cc279.01(1)(b),trafficking in persons,,14y,,
cc279.011(1)(a),trafficking of a person under the age of eighteen years — additional violent offence,6y,255y,,
cc279.011(1)(b),trafficking of a person under the age of eighteen years,5y,14y,,
cc279.02(1),material benefit — trafficking,,10y,,sc
cc279.02(2),material benefit — trafficking of person under 18 years,2y,14y,,
cc279.03(1),withholding or destroying documents — trafficking,,5y,,sc
cc279.03(2),withholding or destroying documents — trafficking of person under 18 years,1y,14y,,
cc279.1(2)(a)-1,hostage taking — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc279.1(2)(a)-s,hostage taking — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc279.1(2)(a.1),hostage taking — firearm,4y,255y,,
cc279.1(2)(b),hostage taking,,255y,,
cc280,abduction of person under age of 16,,5y,,sc
cc281,abduction of person under age of 14,,10y,,sc
cc282,abduction in contravention of custody or parenting order,,10y,,sc
cc283,abduction,,10y,,sc
cc286.1(1)(a)(i)-1,obtaining sexual services for consideration — public place — first offence,2000$,5y,1000$,729d&5000$
cc286.1(1)(a)(i)-s,obtaining sexual services for consideration — public place — subsequent offence,4000$,5y,2000$,729d&5000$
cc286.1(1)(a)(ii)-1,obtaining sexual services for consideration — first offence,1000$,5y,500$,729d&5000$
cc286.1(1)(a)(ii)-s,obtaining sexual services for consideration — subsequent offence,2000$,5y,1000$,729d&5000$
cc286.1(2)-1,obtaining sexual services for consideration from person under 18 years — first offence,6m,10y,,
cc286.1(2)-s,obtaining sexual services for consideration from person under 18 years — subsequent offence,1y,10y,,
cc286.2(1),material benefit from sexual services,,10y,,sc
cc286.2(2),material benefit from sexual services provided by person under 18 years,2y,14y,,
cc286.3(1),procuring,,14ym,,
cc286.3(2),procuring — person under 18 years,5y,14y,,
cc286.4,advertising sexual services,,5y,,sc
cc291,bigamy,,5y,,sc
cc292,procuring feigned marriage,,5y,,sc
cc293,polygamy,,5y,,sc
cc293.1,forced marriage,,5y,,sc
cc293.2,marriage under age of 16 years,,5y,,sc
cc294,pretending to solemnize marriage,,2y,,sc
cc295,marriage contrary to law,,2y,,sc
cc300,libel — publishing libel known to be false,,5y,,sc
cc301,libel — publishing defamatory libel,,2y,,sc
cc302,libel — extortion,,5y,,sc
cc318,advocating genocide,,5y,,
cc319(1),public incitement of hatred,,2y,,sc
cc319(2),wilful promotion of hatred,,2y,,sc
cc319(2.1),wilful promotion of antisemitism,,2y,,sc
cc320.102,conversion therapy,,5y,,sc
cc320.103,conversion therapy — promoting or advertising,,2y,,sc
cc320.104,conversion therapy — material benefit,,2y,,sc
cc320.13(1),dangerous operation,,10y,,sc
cc320.13(2)-1,dangerous operation — causing bodily harm — first offence,1000$,14y,1000$,5000$&729d
cc320.13(2)-2,dangerous operation — causing bodily harm — second offence,30d,14y,30d,5000$&729d
cc320.13(2)-s,dangerous operation — causing bodily harm — subsequent offence,120d,14y,120d,5000$&729d
cc320.13(3)-1,dangerous operation — causing death — first offence,1000$,255y,,
cc320.13(3)-2,dangerous operation — causing death — second offence,30d,255y,,
cc320.13(3)-s,dangerous operation — causing death — subsequent offence,120d,255y,,
cc320.14(1)-1a,operation while impaired — first offence,1000$,10y,1000$,5000$&729d
cc320.14(1)-1b,operation while impaired — first offence — BAC between 120mg and 160mg,1500$,10y,1500$,5000$&729d
cc320.14(1)-1c,operation while impaired — first offence — BAC over 160mg,2000$,10y,2000$,5000$&729d
cc320.14(1)-2,operation while impaired — second offence,30d,10y,30d,5000$&729d
cc320.14(1)-s,operation while impaired — subsequent offence,120d,10y,120d,5000$&729d
cc320.14(2)-1,operation while impaired — causing bodily harm — first offence,1000$,14y,1000$,5000$&729d
cc320.14(2)-2,operation while impaired — causing bodily harm — second offence,30d,14y,30d,5000$&729d
cc320.14(2)-s,operation while impaired — causing bodily harm — subsequent offence,120d,14y,120d,5000$&729d
cc320.14(3)-1,operation while impaired — causing death — first offence,1000$,255y,,
cc320.14(3)-2,operation while impaired — causing death — second offence,30d,255y,,
cc320.14(3)-s,operation while impaired — causing death — subsequent offence,120d,255y,,
cc320.14(4),operation while impaired — low blood drug concentration,,,,1000$
cc320.15(1)-1,failure or refusal to comply with demand — first offence,2000$,10y,1000$,5000$&729d
cc320.15(1)-2,failure or refusal to comply with demand — second offence,30d,10y,30d,5000$&729d
cc320.15(1)-s,failure or refusal to comply with demand — subsequent offence,120d,10y,120d,5000$&729d
cc320.15(2)-1,failure or refusal to comply with demand — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000$&729d
cc320.15(2)-2,failure or refusal to comply with demand — accident resulting in bodily harm — second offence,30d,10y,30d,5000$&729d
cc320.15(2)-s,failure or refusal to comply with demand — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000$&729d
cc320.15(3)-1,failure or refusal to comply with demand — accident resulting in death — first offence,1000$,255y,,
cc320.15(3)-2,failure or refusal to comply with demand — accident resulting in death — second offence,30d,255y,,
cc320.15(3)-s,failure or refusal to comply with demand — accident resulting in death — subsequent offence,120d,255y,,
cc320.16(1),failure to stop after accident,,10y,,sc
cc320.16(2)-1,failure to stop after accident — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000$&729d
cc320.16(2)-2,failure to stop after accident — accident resulting in bodily harm — second offence,30d,10y,30d,5000$&729d
cc320.16(2)-s,failure to stop after accident — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000$&729d
cc320.16(3)-1,failure to stop after accident — accident resulting in death — first offence,1000$,255y,,
cc320.16(3)-2,failure to stop after accident — accident resulting in death — second offence,30d,255y,,
cc320.16(3)-s,failure to stop after accident — accident resulting in death — subsequent offence,120d,255y,,
cc320.17,flight from peace officer,,10y,,sc
cc320.18,operation while prohibited,,10y,,sc
cc327,possession of device to obtain telecommunication facility or service,,2y,,sc
cc333.1(1)-1,motor vehicle theft,,10y,,sc
cc333.1(1)-s,motor vehicle theft — third or subsequent offence,6m,10y,,
cc333.1(3),motor vehicle theft — violence used threatened or attempted,,14y,,
cc333.1(4),motor vehicle theft — criminal organization,,14y,,
cc333.2(1),possession of device for purpose of committing theft,,10y,,sc
cc333.2(2),distribution of device linked to theft,,10y,,sc
cc334(a),theft over $5000,,10y,,sc
cc334(b),theft under $5000,,2y,,sc
cc335,taking motor vehicle or vessel or found therein without consent,,,,sc
cc336,criminal breach of trust,,14y,,
cc338(1),fraudulently taking cattle or defacing brand,,5y,,sc
cc338(2),theft of cattle,,10y,,sc
cc339(1),taking possession of drift timber,,5y,,sc
cc339(2),dealer in second-hand goods — registered lumbering equipment,,,,sc
cc340,destroying documents of title,,10y,,sc
cc341,fraudulent concealment,,2y,,sc
cc342(1),theft forgery of credit card,,10y,,sc
cc342(3),unauthorized use of credit card data,,10y,,sc
cc342.01,instruments for copying credit card data or forging or falsifying credit cards,,10y,,sc
cc342.1,unauthorized use of computer,,10y,,sc
cc342.2,possession of device to obtain unauthorized use of computer system or commit mischief,,2y,,sc
cc344(1)(a)-1,robbery — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc344(1)(a)-s,robbery — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc344(1)(b),robbery,,255y,,
cc345,stopping mail with intent,,255y,,
cc346(1.1)(a)-1,extortion — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc346(1.1)(a)-s,extortion — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc346(1.1)(b),extortion,,255y,,
cc347,criminal interest rate,,5y,,25000$&729d
cc348(1)(d),breaking and entering with intent committing offence or breaking out — dwelling-house,,255y,,
cc348(1)(e),breaking and entering with intent committing offence or breaking out — non-dwelling-house,,10y,
cc349,being unlawfully in dwelling-house,,10y,,sc
cc351(1),possession of break-in instrument,,10y,,sc
cc351(2),disguise with intent,,10y,,sc
cc352,possession of instruments for breaking into coin-operated or currency exchange devices,,2y,,sc
cc353,selling automobile master key,,2y,,sc
cc353.1,tampering with vehicle identification number,,5y,,sc
cc355(a),possessing property obtained by crime — over $5000,,10y,,sc
cc355(b),possessing property obtained by crime — under $5000,,2y,,sc
cc355.5(a),possessing or trafficking in property obtained by crime — over $5000,,14y,,
cc355.5(b),possessing or trafficking in property obtained by crime — under $5000,,5y,,sc
cc356,theft from mail,,10y,,sc
cc357,bringing into canada property obtained by crime,,10y,,sc
cc362(2)(a),false pretence or false statement — theft over $5000,,10y,,sc
cc362(2)(b),false pretence or false statement — theft under $5000,,2y,,sc
cc362(3),false pretence or false statement — other,,10y,,sc
cc363,obtaining execution of valuable security by fraud,,5y,,sc
cc364,fraudulently obtaining food beverage or accommodation,,,,sc
cc367,forgery,,10y,,sc
cc368,use traffkcing or possession of forged document,,10y,,sc
cc368.1,forgery instruments,,14y,,sc
cc369,exchequer bill paper public seals,,14y,,
cc372(1),false information,,2y,,sc
cc372(2),indecent communications,,2y,,sc
cc372(3),harassing communications,,2y,,sc
cc374,draw document without authority,,14y,,
cc375,obtaining by instrument based on forged document,,14y,,
cc376(1),counterfeiting stamp,,14y,,
cc376(2),counterfeiting mark,,14y,,
cc377,damaging documents,,5y,,sc
cc378,offences in relation to registers,,5y,,sc
cc380(1)(a),fraud — over $5000,,14y,,
cc380(1)(b),fraud — under $5000,,2y,,sc
cc380(1.1),fraud — over $1000000,2y,14y,,
cc380(2),fraud — affecting public market,,14y,,
cc380.2,failure to comply with prohibition order,,2y,,sc
cc381,using mails to defraud,,2y,,sc
cc382,fraudulent manipulation of stock exchange transactions,,10y,,sc
cc382.1(1),prohibited insider trading,,10y,,sc
cc382.1(2),prohibited insider trading — tipping,,5y,,sc
cc383,gaming in stocks or merchandise,,5y,,sc
cc384,broker reducing stock by selling for their own account,,5y,,sc
cc385,fraudulent concealment of title documents,,2y,,sc
cc386,fraudulent registration of title,,5y,,sc
cc387,fraudulent sale of real property,,2y,,sc
cc388,misleading receipt,,2y,,sc
cc389,fraudlent disposal of goods on which money advanced,,2y,,sc
cc390,fraudulent receipts under bank act,,2y,,sc
cc391(1),trade secret,,14y,,sc
cc391(2),trade secret — prior knowledge,,14y,,sc
cc392,disposal of property to defraud creditors,,2y,,sc
cc393(1),commit fraud in relation to fares,,2y,,sc
cc393(2),enduce fraud in relation to fares,,2y,,sc
cc393(3),fraudulently obtaining transportation,,,,sc
cc394,fraud in relation to valuable minerals,,5y,,sc
cc394.1,possession of stolen or fraudulently obtained valuable minerals,,5y,,sc
cc396,offences in relation to mines,,10y,,sc
cc397(1),falsification of books and documents,,5y,,sc
cc397(2),being privy to falsification of books and documents,,5y,,sc
cc398,falsifying employment record,,,,sc
cc399,false return by public officer,,5y,,sc
cc400,false prospectus,,10y,,sc
cc401,obtaining carriabe by false billing,,,,sc
cc402.2,theft of or trafficking in identity information,,5y,,sc
cc403,identity fraud,,10y,,sc
cc405,acknowledging instrument in false name,,5y,,sc
cc407,forging trademark,,2y,,sc
cc408,passing off,,2y,,sc
cc409,instruments for forging trademark,,2y,,sc
cc410,other offences in relation to trademarks,,2y,,sc
cc411,used goods sold without disclosure,,2y,,sc
cc415,offences in relation to wreck,,2y,,sc
cc417(1),applying or removing marks without authority,,2y,,sc
cc417(2),unlawful transactions in public stores,,2y,,sc
cc418(1),selling defective stores to her majesty,,14y,,
cc418(2),offences by representatives,,14y,,
cc419,unlawful use of military uniforms or certifictes,,,,sc
cc420,military stores,,5y,,sc
cc422,criminal breach of contract,,5y,,sc
cc423,intimidation,,5y,,sc
cc423.1,intimidation of a justice system participant or journalist,,14y,,
cc423.2,intimidation — health services,,10y,,sc
cc424,threat against internationally protected person,,5y,,sc
cc424.1,threat against united nations or associated personnel,,10y,,sc
cc425,offences by employers,,,,sc
cc425.1,threats and retaliation against employees,,5y,,sc
cc426,secret commissions,,5y,,sc
cc430(2),mischief — endangering 255y,,255y,,
cc430(3),mischief — over $5000,,10y,,sc
cc430(4),mischief — under $5000,,2y,,sc
cc430(4.1),mischief — religious property educational institutions,,10y,,sc
cc430(4.11)-1,mischief — war memorials — first offence,1000$,10y,1000$,729d
cc430(4.11)-2,mischief — war memorials — second offence,14d,10y,14d,729d
cc430(4.11)-s,mischief — war memorials — subsequent offence,30d,10y,30d,729d
cc430(4.2),mischief — cultural property,,10y,,sc
cc430(5),mischief — computer data,,10y,,sc
cc430(5.1),mischief — omitting to prevent mischief to data,,10y,,sc
cc431,attack on premises residence or transport of internationally protected person,,14y,,
cc431.1,attack on premises residence or transport of united nations or associated personnel,,14y,,
cc431.2,explosive or other lethal device,,255y,,
cc432(1),unauthorized recording of a movie,,2y,,sc
cc432(2),unauthorized recording for purpose of sale,,5y,,sc
cc433,arson — disregard for human 255y,,255y,,
cc434,arson — damage to property,,14y,,
cc434.1,arson — own property,,14y,,
cc435,arson — fraudulent purpose,,10y,,sc
cc436,arson — negligence,,5y,,sc
cc436.1,possession of incendiary material,,5y,,sc
cc437,false alarm of fire,,2y,,sc
cc438(1),interfering with saving of wrecked vessel,,5y,,sc
